invoice_id,retailer_id,invoice_date,sku,units_shipped,unit_price_usd,gross_invoice_usd,trade_discount_pct
INV-003-0014,RET-003,2026-03-18,SKU-PAD-NGT-10,3776,6.2,23411.2,0.0
INV-003-0015,RET-003,2025-12-02,SKU-PAD-LIN-20,2104,3.128,6581.31,0.08
INV-003-0016,RET-003,2026-02-28,SKU-DIA-NB-32,1593,10.925,17403.53,0.05
INV-004-0000,RET-004,2025-09-08,SKU-DIA-NB-32,1980,6.1,12078.0,0.0
INV-004-0001,RET-004,2026-07-08,SKU-PAD-NGT-10,3374,3.3,11134.2,0.0
INV-004-0002,RET-004,2026-03-12,SKU-PAD-LIN-20,904,1.8,1627.2,0.0
INV-004-0003,RET-004,2026-04-22,SKU-PAD-NGT-10,790,3.135,2476.65,0.05
INV-004-0004,RET-004,2026-04-17,SKU-PAD-DAY-10,1412,2.6,3671.2,0.0
INV-004-0005,RET-004,2026-05-25,SKU-PAD-LIN-20,3017,1.656,4996.15,0.08
INV-004-0006,RET-004,2026-07-15,SKU-PAD-NGT-10,787,3.135,2467.24,0.05
INV-004-0007,RET-004,2025-09-13,SKU-DIA-NB-32,1228,6.1,7490.8,0.0
INV-004-0008,RET-004,2026-01-07,SKU-PAD-DAY-10,2397,2.47,5920.59,0.05
INV-004-0009,RET-004,2026-06-08,SKU-PAD-NGT-10,3387,3.3,11177.1,0.0
INV-004-0010,RET-004,2026-07-28,SKU-DIA-NB-32,1541,6.1,9400.1,0.0
INV-004-0011,RET-004,2026-02-26,SKU-PAD-LIN-20,1447,1.71,2474.37,0.05
INV-004-0012,RET-004,2026-07-22,SKU-DIA-NB-32,1321,5.612,7413.45,0.08
INV-004-0013,RET-004,2025-09-16,SKU-PAD-DAY-10,992,2.47,2450.24,0.05
INV-004-0014,RET-004,2026-08-11,SKU-PAD-NGT-10,1966,3.036,5968.78,0.08
INV-004-0015,RET-004,2026-05-18,SKU-PAD-DAY-10,3610,2.6,9386.0,0.0
INV-004-0016,RET-004,2026-07-08,SKU-DIA-NB-32,3606,6.1,21996.6,0.0
INV-004-0017,RET-004,2025-12-19,SKU-PAD-DAY-10,2267,2.6,5894.2,0.0
INV-004-0018,RET-004,2026-04-18,SKU-PAD-DAY-10,3179,2.6,8265.4,0.0
INV-004-0019,RET-004,2025-10-03,SKU-PAD-NGT-10,1745,3.036,5297.82,0.08
INV-004-0020,RET-004,2025-12-01,SKU-PAD-LIN-20,3088,1.8,5558.4,0.0
INV-004-0021,RET-004,2025-11-23,SKU-PAD-DAY-10,3772,2.392,9022.62,0.08
INV-004-0022,RET-004,2026-06-16,SKU-PAD-DAY-10,841,2.6,2186.6,0.0
INV-004-0023,RET-004,2025-11-02,SKU-DIA-NB-32,951,5.795,5511.04,0.05
INV-004-0024,RET-004,2026-07-01,SKU-PAD-NGT-10,2557,3.135,8016.2,0.05
INV-004-0025,RET-004,2025-12-17,SKU-PAD-DAY-10,1107,2.6,2878.2,0.0
INV-004-0026,RET-004,2026-08-04,SKU-DIA-NB-32,3198,6.1,19507.8,0.0
INV-004-0027,RET-004,2025-10-20,SKU-PAD-NGT-10,2202,3.3,7266.6,0.0
INV-004-0028,RET-004,2025-11-19,SKU-DIA-NB-32,450,6.1,2745.0,0.0
INV-004-0029,RET-004,2026-04-24,SKU-PAD-NGT-10,874,3.3,2884.2,0.0
INV-004-0030,RET-004,2026-02-23,SKU-DIA-NB-32,838,6.1,5111.8,0.0
INV-004-0031,RET-004,2026-03-21,SKU-DIA-NB-32,2899,5.612,16269.19,0.08
INV-004-0032,RET-004,2026-06-07,SKU-PAD-NGT-10,1119,3.036,3397.28,0.08
INV-004-0033,RET-004,2026-05-15,SKU-PAD-DAY-10,2975,2.6,7735.0,0.0
INV-005-0000,RET-005,2025-10-13,SKU-DIA-NB-32,871,6.1,5313.1,0.0
INV-005-0001,RET-005,2026-01-16,SKU-PAD-LIN-20,3739,1.8,6730.2,0.0
INV-005-0002,RET-005,2026-02-17,SKU-DIA-NB-32,1483,6.1,9046.3,0.0
INV-005-0003,RET-005,2026-07-29,SKU-PAD-LIN-20,2786,1.8,5014.8,0.0
INV-005-0004,RET-005,2026-07-18,SKU-PAD-LIN-20,1431,1.656,2369.74,0.08
INV-005-0005,RET-005,2026-03-12,SKU-PAD-NGT-10,489,3.135,1533.02,0.05
INV-005-0006,RET-005,2025-10-07,SKU-PAD-DAY-10,2682,2.392,6415.34,0.08
INV-005-0007,RET-005,2026-01-24,SKU-PAD-LIN-20,905,1.71,1547.55,0.05
INV-005-0008,RET-005,2026-03-26,SKU-PAD-DAY-10,3878,2.6,10082.8,0.0
INV-005-0009,RET-005,2026-06-07,SKU-PAD-DAY-10,3758,2.47,9282.26,0.05
INV-005-0010,RET-005,2026-05-31,SKU-PAD-NGT-10,2082,3.135,6527.07,0.05
INV-005-0011,RET-005,2025-10-08,SKU-DIA-NB-32,464,5.795,2688.88,0.05
INV-005-0012,RET-005,2026-06-04,SKU-PAD-NGT-10,3385,3.3,11170.5,0.0
INV-005-0013,RET-005,2026-03-04,SKU-PAD-NGT-10,1237,3.3,4082.1,0.0
INV-005-0014,RET-005,2026-06-29,SKU-DIA-NB-32,2581,5.612,14484.57,0.08
INV-006-0000,RET-006,2026-01-22,SKU-DIA-NB-32,2571,5.4,13883.4,0.0
INV-006-0001,RET-006,2026-01-26,SKU-PAD-DAY-10,1747,2.024,3535.93,0.08
INV-006-0002,RET-006,2026-06-29,SKU-PAD-DAY-10,2746,2.024,5557.9,0.08
INV-006-0003,RET-006,2025-11-26,SKU-PAD-NGT-10,2034,2.66,5410.44,0.05
INV-006-0004,RET-006,2026-05-17,SKU-PAD-NGT-10,1251,2.576,3222.58,0.08
INV-006-0005,RET-006,2025-10-07,SKU-DIA-NB-32,3339,4.968,16588.15,0.08
INV-006-0006,RET-006,2026-03-26,SKU-DIA-NB-32,639,5.4,3450.6,0.0
INV-006-0007,RET-006,2026-06-14,SKU-PAD-NGT-10,926,2.8,2592.8,0.0
INV-006-0008,RET-006,2025-10-20,SKU-PAD-NGT-10,1517,2.576,3907.79,0.08
INV-006-0009,RET-006,2025-10-28,SKU-DIA-NB-32,3715,5.13,19057.95,0.05
INV-006-0010,RET-006,2025-10-24,SKU-PAD-DAY-10,1424,2.09,2976.16,0.05
INV-006-0011,RET-006,2025-09-08,SKU-PAD-NGT-10,815,2.66,2167.9,0.05
INV-006-0012,RET-006,2025-10-31,SKU-PAD-LIN-20,599,1.5,898.5,0.0
INV-006-0013,RET-006,2026-03-25,SKU-DIA-NB-32,592,5.4,3196.8,0.0
INV-006-0014,RET-006,2026-01-15,SKU-PAD-LIN-20,2850,1.38,3933.0,0.08
INV-006-0015,RET-006,2026-02-23,SKU-DIA-NB-32,1544,4.968,7670.59,0.08
INV-006-0016,RET-006,2026-06-23,SKU-PAD-LIN-20,3550,1.38,4899.0,0.08
INV-006-0017,RET-006,2025-11-02,SKU-PAD-LIN-20,556,1.5,834.0,0.0
INV-006-0018,RET-006,2025-11-26,SKU-DIA-NB-32,1252,5.4,6760.8,0.0
