claim_id,defect_type,entitled_amount_usd,claimed_amount_usd,overclaim_usd,is_clean
CLM-0210,arithmetic_error,698.63,943.15,244.52,False
CLM-0211,arithmetic_error,1367.56,1559.02,191.46,False
CLM-0212,clean,892.64,892.64,0.0,True
CLM-0213,clean,894.1,894.1,0.0,True
CLM-0214,clean,400.11,400.11,0.0,True
CLM-0215,clean,94.58,94.58,0.0,True
CLM-0216,clean,69.52,69.52,0.0,True
CLM-0217,expired_window,154.64,154.64,0.0,False
CLM-0218,expired_window,188.41,188.41,0.0,False
CLM-0219,clean,40.14,40.14,0.0,True
CLM-0220,clean,39.51,39.51,0.0,True
CLM-0221,clean,612.73,612.73,0.0,True
CLM-0222,clean,286.32,286.32,0.0,True
CLM-0223,clean,90.43,90.43,0.0,True
CLM-0224,expired_window,204.64,204.64,0.0,False
CLM-0225,clean,1177.27,1177.27,0.0,True
CLM-0226,clean,278.38,278.38,0.0,True
CLM-0227,clean,39.34,39.34,0.0,True
CLM-0228,clean,115.08,115.08,0.0,True
CLM-0229,clean,889.78,889.78,0.0,True
CLM-0230,arithmetic_error,605.67,969.07,363.4,False
CLM-0231,clean,56.89,56.89,0.0,True
CLM-0232,clean,136.84,136.84,0.0,True
CLM-0233,clean,40.83,40.83,0.0,True
CLM-0234,clean,113.08,113.08,0.0,True
CLM-0235,clean,673.77,673.77,0.0,True
CLM-0236,clean,1060.13,1060.13,0.0,True
CLM-0237,clean,179.72,179.72,0.0,True
CLM-0238,no_promo_backing,0.0,430.65,430.65,False
CLM-0239,clean,585.39,585.39,0.0,True
CLM-0240,clean,886.27,886.27,0.0,True
CLM-0241,clean,452.23,452.23,0.0,True
CLM-0242,clean,767.8,767.8,0.0,True
CLM-0243,clean,254.51,254.51,0.0,True
CLM-0244,clean,643.57,643.57,0.0,True
CLM-0245,clean,146.95,146.95,0.0,True
CLM-0246,clean,580.2,580.2,0.0,True
CLM-0247,clean,39.98,39.98,0.0,True
CLM-0248,damages_over_allowance,99.7,299.03,199.33,False
CLM-0249,clean,1597.32,1597.32,0.0,True
CLM-0250,clean,4337.32,4337.32,0.0,True
CLM-0251,clean,623.17,623.17,0.0,True
CLM-0252,clean,1392.88,1392.88,0.0,True
CLM-0253,clean,1038.01,1038.01,0.0,True
CLM-0254,clean,1390.3,1390.3,0.0,True
CLM-0255,clean,60.2,60.2,0.0,True
CLM-0256,clean,214.65,214.65,0.0,True
CLM-0257,clean,440.85,440.85,0.0,True
CLM-0258,clean,750.73,750.73,0.0,True
CLM-0259,clean,705.48,705.48,0.0,True
CLM-0260,clean,177.87,177.87,0.0,True
CLM-0261,clean,1526.61,1526.61,0.0,True
CLM-0262,clean,749.42,749.42,0.0,True
CLM-0263,clean,40.76,40.76,0.0,True
CLM-0264,clean,68.0,68.0,0.0,True
CLM-0265,clean,63.41,63.41,0.0,True
CLM-0266,clean,276.14,276.14,0.0,True
CLM-0267,clean,76.87,76.87,0.0,True
CLM-0268,clean,4886.77,4886.77,0.0,True
CLM-0269,damages_over_allowance,122.46,219.62,97.16,False
CLM-0270,clean,452.61,452.61,0.0,True
CLM-0271,clean,136.42,136.42,0.0,True
CLM-0272,clean,65.32,65.32,0.0,True
CLM-0273,clean,40.77,40.77,0.0,True
CLM-0274,clean,1301.16,1301.16,0.0,True
CLM-0275,clean,872.91,872.91,0.0,True
CLM-0276,clean,896.35,896.35,0.0,True
CLM-0277,damages_over_allowance,302.48,399.5,97.02,False
CLM-0278,clean,47.45,47.45,0.0,True
CLM-0279,clean,1401.76,1401.76,0.0,True
CLM-0280,clean,1285.9,1285.9,0.0,True
CLM-0281,clean,760.5,760.5,0.0,True
CLM-0282,expired_window,326.87,326.87,0.0,False
CLM-0283,clean,75.82,75.82,0.0,True
CLM-0284,no_promo_backing,0.0,657.66,657.66,False
CLM-0285,clean,39.83,39.83,0.0,True
CLM-0286,clean,39.42,39.42,0.0,True
CLM-0287,clean,502.0,502.0,0.0,True
CLM-0288,clean,892.04,892.04,0.0,True
CLM-0289,clean,607.56,607.56,0.0,True
CLM-0290,damages_over_allowance,299.18,485.44,186.26,False
CLM-0291,clean,1390.63,1390.63,0.0,True
CLM-0292,clean,259.93,259.93,0.0,True
CLM-0293,clean,125.07,125.07,0.0,True
CLM-0294,clean,133.76,133.76,0.0,True
CLM-0295,clean,199.51,199.51,0.0,True
CLM-0296,clean,195.88,195.88,0.0,True
CLM-0297,clean,418.86,418.86,0.0,True
CLM-0298,clean,61.17,61.17,0.0,True
CLM-0299,clean,39.65,39.65,0.0,True
CLM-0300,arithmetic_error,3373.91,3643.82,269.91,False
CLM-0301,clean,115.73,115.73,0.0,True
CLM-0302,damages_over_allowance,190.04,492.9,302.86,False
CLM-0303,clean,219.04,219.04,0.0,True
CLM-0304,clean,193.61,193.61,0.0,True
CLM-0305,clean,39.78,39.78,0.0,True
CLM-0306,clean,5195.13,5195.13,0.0,True
CLM-0307,clean,483.11,483.11,0.0,True
CLM-0308,clean,232.02,232.02,0.0,True
CLM-0309,clean,123.46,123.46,0.0,True
CLM-0310,clean,1297.79,1297.79,0.0,True
CLM-0311,clean,273.49,273.49,0.0,True
CLM-0312,clean,860.79,860.79,0.0,True
CLM-0313,clean,612.3,612.3,0.0,True
CLM-0314,clean,399.95,399.95,0.0,True
CLM-0315,clean,407.51,407.51,0.0,True
CLM-0316,clean,1326.71,1326.71,0.0,True
CLM-0317,clean,399.96,399.96,0.0,True
CLM-0318,clean,97.3,97.3,0.0,True
CLM-0319,clean,197.2,197.2,0.0,True
CLM-0320,arithmetic_error,1270.77,1715.54,444.77,False
CLM-0321,clean,767.12,767.12,0.0,True
CLM-0322,clean,1268.06,1268.06,0.0,True
CLM-0323,clean,1285.7,1285.7,0.0,True
CLM-0324,clean,482.75,482.75,0.0,True
CLM-0325,clean,1375.25,1375.25,0.0,True
CLM-0326,clean,40.9,40.9,0.0,True
CLM-0327,clean,40.6,40.6,0.0,True
CLM-0328,clean,45.68,45.68,0.0,True
CLM-0329,arithmetic_error,283.15,322.79,39.64,False
CLM-0330,expired_window,86.8,86.8,0.0,False
CLM-0331,clean,395.9,395.9,0.0,True
CLM-0332,duplicate,0.0,45.82,45.82,False
CLM-0333,arithmetic_error,69.23,84.46,15.23,False
CLM-0334,duplicate,0.0,3614.58,3614.58,False
CLM-0335,duplicate,0.0,1326.82,1326.82,False
CLM-0336,expired_window,587.4,587.4,0.0,False
CLM-0337,clean,1520.69,1520.69,0.0,True
CLM-0338,clean,106.2,106.2,0.0,True
CLM-0339,clean,277.13,277.13,0.0,True
CLM-0340,clean,1446.4,1446.4,0.0,True
CLM-0341,clean,428.9,428.9,0.0,True
CLM-0342,arithmetic_error,301.54,367.88,66.34,False
CLM-0343,arithmetic_error,129.51,207.22,77.71,False
CLM-0344,clean,885.44,885.44,0.0,True
CLM-0345,arithmetic_error,163.1,198.98,35.88,False
CLM-0346,clean,3414.0,3414.0,0.0,True
CLM-0347,clean,76.16,76.16,0.0,True
CLM-0348,no_promo_backing,0.0,1897.12,1897.12,False
CLM-0349,arithmetic_error,398.07,429.92,31.85,False
CLM-0350,clean,708.61,708.61,0.0,True
CLM-0351,clean,40.07,40.07,0.0,True
CLM-0352,no_promo_backing,0.0,1800.97,1800.97,False
CLM-0353,clean,1398.63,1398.63,0.0,True
CLM-0354,clean,856.28,856.28,0.0,True
CLM-0355,clean,305.37,305.37,0.0,True
CLM-0356,clean,1207.61,1207.61,0.0,True
CLM-0357,clean,195.52,195.52,0.0,True
CLM-0358,clean,66.69,66.69,0.0,True
CLM-0359,clean,1188.29,1188.29,0.0,True
CLM-0360,clean,887.63,887.63,0.0,True
CLM-0361,clean,169.1,169.1,0.0,True
CLM-0362,arithmetic_error,911.1,983.99,72.89,False
CLM-0363,clean,748.51,748.51,0.0,True
CLM-0364,clean,1175.99,1175.99,0.0,True
CLM-0365,clean,195.3,195.3,0.0,True
CLM-0366,clean,102.41,102.41,0.0,True
CLM-0367,clean,80.9,80.9,0.0,True
CLM-0368,clean,128.6,128.6,0.0,True
CLM-0369,expired_window,89.95,89.95,0.0,False
CLM-0370,clean,382.33,382.33,0.0,True
CLM-0371,clean,40.05,40.05,0.0,True
CLM-0372,clean,384.44,384.44,0.0,True
CLM-0373,clean,46.7,46.7,0.0,True
CLM-0374,clean,40.53,40.53,0.0,True
CLM-0375,clean,78.57,78.57,0.0,True
CLM-0376,clean,314.09,314.09,0.0,True
CLM-0377,clean,70.52,70.52,0.0,True
CLM-0378,expired_window,182.58,182.58,0.0,False
CLM-0379,clean,616.64,616.64,0.0,True
CLM-0380,clean,284.15,284.15,0.0,True
CLM-0381,clean,72.29,72.29,0.0,True
CLM-0382,clean,623.43,623.43,0.0,True
CLM-0383,clean,166.95,166.95,0.0,True
CLM-0384,arithmetic_error,1172.34,1336.47,164.13,False
CLM-0385,no_promo_backing,0.0,1277.7,1277.7,False
CLM-0386,clean,162.09,162.09,0.0,True
CLM-0387,clean,582.62,582.62,0.0,True
CLM-0388,clean,39.83,39.83,0.0,True
CLM-0389,clean,337.72,337.72,0.0,True
CLM-0390,clean,5081.91,5081.91,0.0,True
CLM-0391,clean,928.86,928.86,0.0,True
CLM-0392,clean,341.82,341.82,0.0,True
CLM-0393,clean,310.1,310.1,0.0,True
CLM-0394,clean,40.22,40.22,0.0,True
CLM-0395,clean,231.52,231.52,0.0,True
CLM-0396,clean,39.69,39.69,0.0,True
CLM-0397,arithmetic_error,1503.52,1834.29,330.77,False
CLM-0398,expired_window,193.17,193.17,0.0,False
CLM-0399,damages_over_allowance,128.88,292.83,163.95,False
CLM-0400,arithmetic_error,334.94,452.17,117.23,False
CLM-0401,no_promo_backing,0.0,1215.76,1215.76,False
CLM-0402,clean,1154.23,1154.23,0.0,True
CLM-0403,clean,327.11,327.11,0.0,True
CLM-0404,clean,288.41,288.41,0.0,True
CLM-0405,clean,1385.54,1385.54,0.0,True
CLM-0406,clean,324.26,324.26,0.0,True
CLM-0407,clean,3269.22,3269.22,0.0,True
CLM-0408,clean,597.43,597.43,0.0,True
CLM-0409,clean,1082.5,1082.5,0.0,True
CLM-0410,clean,150.76,150.76,0.0,True
CLM-0411,clean,145.72,145.72,0.0,True
CLM-0412,arithmetic_error,595.06,952.1,357.04,False
CLM-0413,clean,234.62,234.62,0.0,True
CLM-0414,clean,726.78,726.78,0.0,True
CLM-0415,clean,449.35,449.35,0.0,True
CLM-0416,clean,89.59,89.59,0.0,True
CLM-0417,duplicate,0.0,46.05,46.05,False
CLM-0418,clean,609.02,609.02,0.0,True
CLM-0419,clean,217.18,217.18,0.0,True
CLM-0420,clean,394.71,394.71,0.0,True
CLM-0421,clean,82.2,82.2,0.0,True
CLM-0422,arithmetic_error,285.18,325.11,39.93,False
CLM-0423,clean,39.45,39.45,0.0,True
CLM-0424,clean,283.55,283.55,0.0,True
CLM-0425,clean,339.65,339.65,0.0,True
CLM-0426,clean,104.89,104.89,0.0,True
CLM-0427,clean,285.84,285.84,0.0,True
CLM-0428,clean,394.92,394.92,0.0,True
CLM-0429,clean,483.33,483.33,0.0,True
CLM-0430,clean,120.68,120.68,0.0,True
CLM-0431,clean,39.91,39.91,0.0,True
CLM-0432,clean,1067.15,1067.15,0.0,True
CLM-0433,clean,40.52,40.52,0.0,True
CLM-0434,clean,39.59,39.59,0.0,True
CLM-0435,clean,72.9,72.9,0.0,True
CLM-0436,clean,1603.42,1603.42,0.0,True
CLM-0437,clean,1405.04,1405.04,0.0,True
CLM-0438,clean,76.85,76.85,0.0,True
CLM-0439,clean,780.74,780.74,0.0,True
CLM-0440,clean,40.18,40.18,0.0,True
CLM-0441,damages_over_allowance,77.78,117.45,39.67,False
CLM-0442,clean,1554.15,1554.15,0.0,True
CLM-0443,clean,39.05,39.05,0.0,True
CLM-0444,damages_over_allowance,201.91,306.76,104.85,False
CLM-0445,duplicate,0.0,42.66,42.66,False
CLM-0446,clean,900.68,900.68,0.0,True
CLM-0447,clean,416.1,416.1,0.0,True
CLM-0448,clean,1387.76,1387.76,0.0,True
CLM-0449,no_promo_backing,0.0,1010.26,1010.26,False
CLM-0450,expired_window,162.69,162.69,0.0,False
CLM-0451,clean,40.77,40.77,0.0,True
CLM-0452,arithmetic_error,408.56,465.76,57.2,False
CLM-0453,clean,1180.35,1180.35,0.0,True
CLM-0454,clean,461.33,461.33,0.0,True
CLM-0455,clean,1604.37,1604.37,0.0,True
CLM-0456,clean,395.02,395.02,0.0,True
CLM-0457,clean,887.6,887.6,0.0,True
CLM-0458,clean,911.96,911.96,0.0,True
CLM-0459,arithmetic_error,71.45,96.46,25.01,False
CLM-0460,no_promo_backing,0.0,1335.3,1335.3,False
CLM-0461,clean,150.6,150.6,0.0,True
CLM-0462,clean,1279.31,1279.31,0.0,True
CLM-0463,clean,50.87,50.87,0.0,True
CLM-0464,duplicate,0.0,591.08,591.08,False
CLM-0465,damages_over_allowance,94.7,239.91,145.21,False
CLM-0466,arithmetic_error,40.64,65.02,24.38,False
CLM-0467,clean,39.3,39.3,0.0,True
CLM-0468,clean,724.57,724.57,0.0,True
CLM-0469,clean,77.89,77.89,0.0,True
CLM-0470,clean,1050.64,1050.64,0.0,True
CLM-0471,clean,128.27,128.27,0.0,True
CLM-0472,clean,884.96,884.96,0.0,True
CLM-0473,expired_window,674.3,674.3,0.0,False
CLM-0474,clean,1553.69,1553.69,0.0,True
CLM-0475,clean,39.65,39.65,0.0,True
CLM-0476,clean,196.13,196.13,0.0,True
CLM-0477,clean,399.36,399.36,0.0,True
CLM-0478,clean,592.49,592.49,0.0,True
CLM-0479,clean,438.91,438.91,0.0,True
