shipment_id,retailer_id,invoice_id,ship_date,delivery_date,units_shipped,units_received,units_damaged
SHP-00065,RET-003,INV-003-0008,2026-07-19,2026-07-21,1014,1014,0
SHP-00066,RET-003,INV-003-0009,2025-12-30,2026-01-04,2491,2464,27
SHP-00067,RET-003,INV-003-0010,2025-09-08,2025-09-11,2527,2527,0
SHP-00068,RET-003,INV-003-0011,2026-02-15,2026-02-17,3850,3835,15
SHP-00069,RET-003,INV-003-0012,2025-09-29,2025-10-01,3217,3182,35
SHP-00070,RET-003,INV-003-0013,2026-02-18,2026-02-23,2151,2143,8
SHP-00071,RET-003,INV-003-0014,2026-03-18,2026-03-24,3776,3761,15
SHP-00072,RET-003,INV-003-0015,2025-12-02,2025-12-09,2104,2058,46
SHP-00073,RET-003,INV-003-0016,2026-02-28,2026-03-08,1593,1558,35
SHP-00074,RET-004,INV-004-0000,2025-09-08,2025-09-13,1980,1973,7
SHP-00075,RET-004,INV-004-0001,2026-07-08,2026-07-11,3374,3337,37
SHP-00076,RET-004,INV-004-0002,2026-03-12,2026-03-14,904,870,34
SHP-00077,RET-004,INV-004-0003,2026-04-22,2026-04-29,790,790,0
SHP-00078,RET-004,INV-004-0004,2026-04-17,2026-04-24,1412,1412,0
SHP-00079,RET-004,INV-004-0005,2026-05-25,2026-06-01,3017,3017,0
SHP-00080,RET-004,INV-004-0006,2026-07-15,2026-07-20,787,779,8
SHP-00081,RET-004,INV-004-0007,2025-09-13,2025-09-20,1228,1228,0
SHP-00082,RET-004,INV-004-0008,2026-01-07,2026-01-15,2397,2345,52
SHP-00083,RET-004,INV-004-0009,2026-06-08,2026-06-11,3387,3350,37
SHP-00084,RET-004,INV-004-0010,2026-07-28,2026-08-04,1541,1541,0
SHP-00085,RET-004,INV-004-0011,2026-02-26,2026-03-05,1447,1393,54
SHP-00086,RET-004,INV-004-0012,2026-07-22,2026-07-29,1321,1292,29
SHP-00087,RET-004,INV-004-0013,2025-09-16,2025-09-22,992,992,0
SHP-00088,RET-004,INV-004-0014,2026-08-11,2026-08-18,1966,1966,0
SHP-00089,RET-004,INV-004-0015,2026-05-18,2026-05-23,3610,3610,0
SHP-00090,RET-004,INV-004-0016,2026-07-08,2026-07-12,3606,3606,0
SHP-00091,RET-004,INV-004-0017,2025-12-19,2025-12-27,2267,2267,0
SHP-00092,RET-004,INV-004-0018,2026-04-18,2026-04-20,3179,3059,120
SHP-00093,RET-004,INV-004-0019,2025-10-03,2025-10-08,1745,1739,6
SHP-00094,RET-004,INV-004-0020,2025-12-01,2025-12-08,3088,3088,0
SHP-00095,RET-004,INV-004-0021,2025-11-23,2025-11-25,3772,3690,82
SHP-00096,RET-004,INV-004-0022,2026-06-16,2026-06-19,841,838,3
SHP-00097,RET-004,INV-004-0023,2025-11-02,2025-11-10,951,915,36
SHP-00098,RET-004,INV-004-0024,2026-07-01,2026-07-05,2557,2501,56
SHP-00099,RET-004,INV-004-0025,2025-12-17,2025-12-23,1107,1103,4
SHP-00100,RET-004,INV-004-0026,2026-08-04,2026-08-06,3198,3198,0
SHP-00101,RET-004,INV-004-0027,2025-10-20,2025-10-26,2202,2119,83
SHP-00102,RET-004,INV-004-0028,2025-11-19,2025-11-21,450,441,9
SHP-00103,RET-004,INV-004-0029,2026-04-24,2026-05-01,874,841,33
SHP-00104,RET-004,INV-004-0030,2026-02-23,2026-02-27,838,838,0
SHP-00105,RET-004,INV-004-0031,2026-03-21,2026-03-24,2899,2836,63
SHP-00106,RET-004,INV-004-0032,2026-06-07,2026-06-15,1119,1107,12
SHP-00107,RET-004,INV-004-0033,2026-05-15,2026-05-17,2975,2975,0
SHP-00108,RET-005,INV-005-0000,2025-10-13,2025-10-18,871,862,9
SHP-00109,RET-005,INV-005-0001,2026-01-16,2026-01-18,3739,3698,41
SHP-00110,RET-005,INV-005-0002,2026-02-17,2026-02-22,1483,1483,0
SHP-00111,RET-005,INV-005-0003,2026-07-29,2026-07-31,2786,2775,11
SHP-00112,RET-005,INV-005-0004,2026-07-18,2026-07-25,1431,1400,31
SHP-00113,RET-005,INV-005-0005,2026-03-12,2026-03-17,489,489,0
SHP-00114,RET-005,INV-005-0006,2025-10-07,2025-10-15,2682,2672,10
SHP-00115,RET-005,INV-005-0007,2026-01-24,2026-01-28,905,902,3
SHP-00116,RET-005,INV-005-0008,2026-03-26,2026-03-28,3878,3878,0
SHP-00117,RET-005,INV-005-0009,2026-06-07,2026-06-12,3758,3616,142
SHP-00118,RET-005,INV-005-0010,2026-05-31,2026-06-07,2082,2037,45
SHP-00119,RET-005,INV-005-0011,2025-10-08,2025-10-13,464,464,0
SHP-00120,RET-005,INV-005-0012,2026-06-04,2026-06-08,3385,3257,128
SHP-00121,RET-005,INV-005-0013,2026-03-04,2026-03-06,1237,1190,47
SHP-00122,RET-005,INV-005-0014,2026-06-29,2026-07-05,2581,2581,0
SHP-00123,RET-006,INV-006-0000,2026-01-22,2026-01-29,2571,2515,56
SHP-00124,RET-006,INV-006-0001,2026-01-26,2026-01-28,1747,1747,0
SHP-00125,RET-006,INV-006-0002,2026-06-29,2026-07-05,2746,2642,104
SHP-00126,RET-006,INV-006-0003,2025-11-26,2025-11-28,2034,2012,22
SHP-00127,RET-006,INV-006-0004,2026-05-17,2026-05-19,1251,1238,13
SHP-00128,RET-006,INV-006-0005,2025-10-07,2025-10-13,3339,3339,0
SHP-00129,RET-006,INV-006-0006,2026-03-26,2026-04-01,639,615,24
SHP-00130,RET-006,INV-006-0007,2026-06-14,2026-06-22,926,926,0
SHP-00131,RET-006,INV-006-0008,2025-10-20,2025-10-23,1517,1517,0
SHP-00132,RET-006,INV-006-0009,2025-10-28,2025-11-02,3715,3715,0
SHP-00133,RET-006,INV-006-0010,2025-10-24,2025-10-31,1424,1393,31
SHP-00134,RET-006,INV-006-0011,2025-09-08,2025-09-15,815,815,0
SHP-00135,RET-006,INV-006-0012,2025-10-31,2025-11-02,599,577,22
SHP-00136,RET-006,INV-006-0013,2026-03-25,2026-03-29,592,586,6
SHP-00137,RET-006,INV-006-0014,2026-01-15,2026-01-23,2850,2850,0
SHP-00138,RET-006,INV-006-0015,2026-02-23,2026-02-25,1544,1544,0
SHP-00139,RET-006,INV-006-0016,2026-06-23,2026-06-26,3550,3550,0
SHP-00140,RET-006,INV-006-0017,2025-11-02,2025-11-09,556,550,6
SHP-00141,RET-006,INV-006-0018,2025-11-26,2025-12-04,1252,1225,27
