claim_id,kam_decision,retailer_response,final_settled_amount_usd,kam_note
CLM-0198,Paid,,201.79,
CLM-0199,Paid,,887.49,
CLM-0200,Paid,,207.91,
CLM-0201,Paid,,265.73,
CLM-0202,Paid,,861.97,
CLM-0203,Paid,,70.1,
CLM-0204,Paid,,609.76,
CLM-0205,Held,,2966.01,pending promo reference
CLM-0206,Held,,911.92,awaiting evidence
CLM-0207,Paid,,39.12,
CLM-0208,Rejected,Accepted,0.0,
CLM-0209,Paid,,1192.8,
CLM-0210,Paid,,943.15,
CLM-0211,Rejected,Disputed,1367.56,
CLM-0212,Paid,,892.64,
CLM-0213,Paid,,894.1,
CLM-0214,Paid,,400.11,
CLM-0215,Paid,,94.58,
CLM-0216,Paid,,69.52,
CLM-0217,Rejected,Accepted,0.0,
CLM-0218,Paid,,188.41,
CLM-0219,Paid,,40.14,
CLM-0220,Paid,,39.51,
CLM-0221,Paid,,612.73,
CLM-0222,Paid,,286.32,
CLM-0223,Paid,,90.43,
CLM-0224,Rejected,Accepted,0.0,
CLM-0225,Paid,,1177.27,
CLM-0226,Paid,,278.38,
CLM-0227,Paid,,39.34,
CLM-0228,Paid,,115.08,
CLM-0229,Paid,,889.78,
CLM-0230,Rejected,Disputed,969.07,
CLM-0231,Paid,,56.89,
CLM-0232,Paid,,136.84,
CLM-0233,Paid,,40.83,
CLM-0234,Paid,,113.08,
CLM-0235,Paid,,673.77,
CLM-0236,Paid,,1060.13,
CLM-0237,Held,,179.72,evidence requested from retailer
CLM-0238,Rejected,Accepted,0.0,
CLM-0239,Paid,,585.39,
CLM-0240,Paid,,886.27,
CLM-0241,Paid,,452.23,
CLM-0242,Paid,,767.8,
CLM-0243,Paid,,254.51,
CLM-0244,Held,,643.57,awaiting evidence
CLM-0245,Paid,,146.95,
CLM-0246,Paid,,580.2,
CLM-0247,Paid,,39.98,
CLM-0248,Rejected,Disputed,99.7,
CLM-0249,Paid,,1597.32,
CLM-0250,Held,,4337.32,awaiting evidence
CLM-0251,Held,,623.17,evidence requested from retailer
CLM-0252,Held,,1392.88,awaiting evidence
CLM-0253,Paid,,1038.01,
CLM-0254,Paid,,1390.3,
CLM-0255,Paid,,60.2,
CLM-0256,Paid,,214.65,
CLM-0257,Paid,,440.85,
CLM-0258,Paid,,750.73,
CLM-0259,Paid,,705.48,
CLM-0260,Paid,,177.87,
CLM-0261,Paid,,1526.61,
CLM-0262,Paid,,749.42,
CLM-0263,Paid,,40.76,
CLM-0264,Paid,,68.0,
CLM-0265,Paid,,63.41,
CLM-0266,Paid,,276.14,
CLM-0267,Paid,,76.87,
CLM-0268,Paid,,4886.77,
CLM-0269,Paid,,219.62,"waived - commercial call, KAM discretion"
CLM-0270,Paid,,452.61,
CLM-0271,Paid,,136.42,
CLM-0272,Paid,,65.32,
CLM-0273,Paid,,40.77,
CLM-0274,Paid,,1301.16,
CLM-0275,Held,,872.91,pending promo reference
CLM-0276,Paid,,896.35,
CLM-0277,Rejected,Accepted,0.0,
CLM-0278,Paid,,47.45,
CLM-0279,Paid,,1401.76,
CLM-0280,Paid,,1285.9,
CLM-0281,Paid,,760.5,
CLM-0282,Paid,,326.87,
CLM-0283,Paid,,75.82,
CLM-0284,Paid,,657.66,
CLM-0285,Paid,,39.83,
CLM-0286,Paid,,39.42,
CLM-0287,Paid,,502.0,
CLM-0288,Paid,,892.04,
CLM-0289,Paid,,607.56,
CLM-0290,Rejected,Accepted,0.0,
CLM-0291,Paid,,1390.63,
CLM-0292,Paid,,259.93,
CLM-0293,Paid,,125.07,
CLM-0294,Paid,,133.76,
CLM-0295,Paid,,199.51,
CLM-0296,Paid,,195.88,
CLM-0297,Paid,,418.86,
CLM-0298,Paid,,61.17,
CLM-0299,Paid,,39.65,
CLM-0300,Rejected,Accepted,0.0,
CLM-0301,Paid,,115.73,
CLM-0302,Paid,,492.9,
CLM-0303,Paid,,219.04,
CLM-0304,Paid,,193.61,
CLM-0305,Paid,,39.78,
CLM-0306,Paid,,5195.13,
CLM-0307,Held,,483.11,evidence requested from retailer
CLM-0308,Held,,232.02,pending promo reference
CLM-0309,Paid,,123.46,
CLM-0310,Paid,,1297.79,
CLM-0311,Paid,,273.49,
CLM-0312,Paid,,860.79,
CLM-0313,Rejected,Disputed,612.3,
CLM-0314,Paid,,399.95,
CLM-0315,Paid,,407.51,
CLM-0316,Paid,,1326.71,
CLM-0317,Paid,,399.96,
CLM-0318,Paid,,97.3,
CLM-0319,Paid,,197.2,
CLM-0320,Paid,,1715.54,
CLM-0321,Paid,,767.12,
CLM-0322,Paid,,1268.06,
CLM-0323,Paid,,1285.7,
CLM-0324,Paid,,482.75,
CLM-0325,Paid,,1375.25,
CLM-0326,Paid,,40.9,
CLM-0327,Paid,,40.6,
CLM-0328,Paid,,45.68,
CLM-0329,Paid,,322.79,
CLM-0330,Rejected,Accepted,0.0,
CLM-0331,Paid,,395.9,
CLM-0332,Paid,,45.82,
CLM-0333,Paid,,84.46,
CLM-0334,Paid,,3614.58,
CLM-0335,Paid,,1326.82,
CLM-0336,Paid,,587.4,
CLM-0337,Paid,,1520.69,
CLM-0338,Paid,,106.2,
CLM-0339,Paid,,277.13,
CLM-0340,Paid,,1446.4,
CLM-0341,Paid,,428.9,
CLM-0342,Paid,,367.88,
CLM-0343,Rejected,Accepted,0.0,
CLM-0344,Paid,,885.44,
CLM-0345,Rejected,Accepted,0.0,
CLM-0346,Paid,,3414.0,
CLM-0347,Paid,,76.16,
CLM-0348,Paid,,1897.12,
CLM-0349,Rejected,Disputed,398.07,
CLM-0350,Paid,,708.61,
CLM-0351,Paid,,40.07,
CLM-0352,Rejected,Accepted,0.0,
CLM-0353,Paid,,1398.63,
CLM-0354,Held,,856.28,awaiting evidence
CLM-0355,Paid,,305.37,
CLM-0356,Held,,1207.61,evidence requested from retailer
CLM-0357,Paid,,195.52,
CLM-0358,Paid,,66.69,
CLM-0359,Paid,,1188.29,
CLM-0360,Paid,,887.63,
CLM-0361,Paid,,169.1,
CLM-0362,Rejected,Accepted,0.0,
CLM-0363,Paid,,748.51,
CLM-0364,Paid,,1175.99,
CLM-0365,Paid,,195.3,
CLM-0366,Paid,,102.41,
CLM-0367,Paid,,80.9,
CLM-0368,Paid,,128.6,
CLM-0369,Rejected,Disputed,89.95,
CLM-0370,Paid,,382.33,
CLM-0371,Paid,,40.05,
CLM-0372,Paid,,384.44,
CLM-0373,Paid,,46.7,
CLM-0374,Paid,,40.53,
CLM-0375,Paid,,78.57,
CLM-0376,Paid,,314.09,
CLM-0377,Paid,,70.52,
CLM-0378,Rejected,Disputed,182.58,
CLM-0379,Held,,616.64,awaiting evidence
CLM-0380,Held,,284.15,pending promo reference
CLM-0381,Paid,,72.29,
CLM-0382,Paid,,623.43,
CLM-0383,Paid,,166.95,
CLM-0384,Paid,,1336.47,
CLM-0385,Rejected,Accepted,0.0,
CLM-0386,Paid,,162.09,
CLM-0387,Paid,,582.62,
CLM-0388,Paid,,39.83,
CLM-0389,Paid,,337.72,
CLM-0390,Held,,5081.91,evidence requested from retailer
CLM-0391,Paid,,928.86,
CLM-0392,Paid,,341.82,
CLM-0393,Paid,,310.1,
CLM-0394,Paid,,40.22,
CLM-0395,Paid,,231.52,
CLM-0396,Paid,,39.69,
CLM-0397,Paid,,1834.29,
CLM-0398,Paid,,193.17,
CLM-0399,Paid,,292.83,
CLM-0400,Paid,,452.17,
CLM-0401,Paid,,1215.76,
CLM-0402,Paid,,1154.23,
CLM-0403,Paid,,327.11,
CLM-0404,Paid,,288.41,
CLM-0405,Paid,,1385.54,
CLM-0406,Paid,,324.26,
CLM-0407,Paid,,3269.22,
CLM-0408,Paid,,597.43,
CLM-0409,Held,,1082.5,evidence requested from retailer
CLM-0410,Paid,,150.76,
CLM-0411,Paid,,145.72,
CLM-0412,Rejected,Accepted,0.0,
CLM-0413,Paid,,234.62,
CLM-0414,Paid,,726.78,
CLM-0415,Paid,,449.35,
CLM-0416,Rejected,Disputed,89.59,
CLM-0417,Rejected,Accepted,0.0,
CLM-0418,Paid,,609.02,
CLM-0419,Paid,,217.18,
CLM-0420,Paid,,394.71,
CLM-0421,Paid,,82.2,
CLM-0422,Rejected,Disputed,285.18,
CLM-0423,Paid,,39.45,
CLM-0424,Paid,,283.55,
CLM-0425,Paid,,339.65,
CLM-0426,Paid,,104.89,
CLM-0427,Paid,,285.84,
CLM-0428,Paid,,394.92,
CLM-0429,Paid,,483.33,
CLM-0430,Paid,,120.68,
CLM-0431,Paid,,39.91,
CLM-0432,Paid,,1067.15,
CLM-0433,Paid,,40.52,
CLM-0434,Paid,,39.59,
CLM-0435,Paid,,72.9,
CLM-0436,Paid,,1603.42,
CLM-0437,Paid,,1405.04,
CLM-0438,Paid,,76.85,
CLM-0439,Paid,,780.74,
CLM-0440,Rejected,Disputed,40.18,
CLM-0441,Paid,,117.45,
CLM-0442,Paid,,1554.15,
CLM-0443,Paid,,39.05,
CLM-0444,Paid,,306.76,waived - below dispute-cost threshold
CLM-0445,Rejected,Accepted,0.0,
CLM-0446,Paid,,900.68,
CLM-0447,Held,,416.1,awaiting evidence
CLM-0448,Paid,,1387.76,
CLM-0449,Rejected,Accepted,0.0,
CLM-0450,Rejected,Accepted,0.0,
CLM-0451,Paid,,40.77,
CLM-0452,Paid,,465.76,
CLM-0453,Paid,,1180.35,
CLM-0454,Paid,,461.33,
CLM-0455,Paid,,1604.37,
CLM-0456,Paid,,395.02,
CLM-0457,Paid,,887.6,
CLM-0458,Paid,,911.96,
CLM-0459,Paid,,96.46,
CLM-0460,Rejected,Accepted,0.0,
CLM-0461,Paid,,150.6,
CLM-0462,Paid,,1279.31,
CLM-0463,Paid,,50.87,
CLM-0464,Rejected,Accepted,0.0,
CLM-0465,Rejected,Accepted,0.0,
CLM-0466,Paid,,65.02,
CLM-0467,Paid,,39.3,
CLM-0468,Paid,,724.57,
CLM-0469,Paid,,77.89,
CLM-0470,Paid,,1050.64,
CLM-0471,Paid,,128.27,
CLM-0472,Paid,,884.96,
CLM-0473,Paid,,674.3,
CLM-0474,Paid,,1553.69,
CLM-0475,Rejected,Disputed,39.65,
CLM-0476,Paid,,196.13,
CLM-0477,Paid,,399.36,
CLM-0478,Paid,,592.49,
CLM-0479,Held,,438.91,awaiting evidence
